page_id,page_name,disclaimer,amount_spent,number_of_ads,organisation_type
247998195361962,SDP Joensuu,SDP Joensuu,811,23,SDP
273828453210,Kaakkois-Suomen Kokoomus,Kaakkois-Suomen Kokoomus,804,18,Kok
254995314554100,SFP i Borgå - RKP Porvoo,SFP i Borgå - RKP Porvoo,803,3,RKP
423754975068118,KD Pohjanmaa - KD Österbotten,KD Pohjanmaa - KD Österbotten,793,48,KD
110233617808359,Satakunnan vihreät,Satakunnan Vihreät ry,786,9,Vihr
356132611157290,Espoon Sosialidemokraatit,Espoon Sosialidemokraatit,774,8,SDP
131879190206726,Hämeen Sanomat,Hämeen Sanomat,751,24,Oy
187149367972389,Sipoon Kokoomus Ry,Sipoon Kokoomus Ry,728,25,Kok
372244836185617,Kauniaisten perussuomalaiset,Kauniaisten perussuomalaiset,727,27,PS
176678846392107,Tankesmedjan Agenda - Ajatushautomo Agenda,Tankesmedjan Agenda Ajatushautomo,724,4,Oy
158571127556917,SDP Valkeakoski,Sdp Valkeakoski,722,56,SDP
168324699852052,pieni ele,Pieni ele ry,715,2,Ry
196740433707108,Lahden kaupunki,Lahden kaupunki,696,6,Kaupunki
156244857778042,Salon Kokoomus,Salon Kokoomus,692,7,Kok
422834721071420,Nokian Vihreät,Nokian Vihreät,690,33,Vihr
387646527975949,Pohjanmaan Sosialidemokraatit,Pohjanmaan Sosialidemokraatit,689,17,SDP
883220421733478,Kotkan Kokoomusnaiset,Kotkan Kokoomusnaiset ry,680,4,Kok
484469271591905,Taideyliopisto,Taideyliopisto,679,4,Yliopisto
122099024930000568,Kokoomus Jyväskylässä,Kokoomus Jyväskylässä,672,109,Kok
114882233682986,Kokoomus Pirkkalassa,Pirkkalan Kokoomus ry,666,6,Kok
163903613685550,Eurooppalainen Suomi ry,Eurooppalainen Suomi ry,664,6,Ry
218493884837356,Nurmijärven kunta,Nurmijärven kunta,664,3,Kaupunki
145507518815493,Tampereen Vasemmisto,Tampereen Vasemmisto,657,4,Vas
106279736072242,SFP i Helsingfors,SFP i Helsingfors,654,53,RKP
355081261180832,Uudenkaupungin Perussuomalaiset ry,Uudenkaupungin Perussuomalaiset ry,646,27,PS
315909121816382,Kokoomus Valkeakoski,Kokoomuksen Valkeakosken Kunnallisjärjestö ry,643,27,Kok
106090215821158,Vasemmistoliiton Akaan osasto,Akaan Vasemmistoliitto ry,641,8,Vas
101014174993302,Keskusta Porissa,Porin Keskusta,633,36,Kesk
208532699307328,Uudenmaan Sosialidemokraatit,Uudenmaan Sosialidemokraatit,627,15,SDP
128710947144224,Joensuun Vihreät,Joensuun Vihreät,626,59,Vihr
231159103673327,Kokoomus Joensuussa,Kokoomus Joensuussa,626,23,Kok
102405421951029,Helsingfors Svenska Arbetarförening rf - HSAF,"Helsingfors Svenska Arbetarförening, rf",620,2,Ry
492199713966425,Laki särmään,Laki särmään,620,21,Ry
1671110199786732,Pornaisten Kokoomus,Pornaisten Kokoomus,612,24,Kok
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,607,20,Kirkko
272130722896957,Pirkanmaan Yrittäjät,Pirkanmaan Yrittäjät ry,600,4,Ry
165788046794349,Kehitysvammaisten Tukiliitto,Kehitysvammaisten Tukiliitto,599,3,Ry
289042201218114,Lapin Sosialidemokraattinen Piiri ry,Lapin Sosialidemokraattinen Piiri,596,6,SDP
158470314208395,Kaakkois-Suomen Vihreät Naiset ry,Kaakkois-Suomen Vihreät Naiset ry,593,36,Vihr
322478695679,Länsi-Savo,Länsi-Savo,580,24,Oy
405546492943527,Etelä-Hämeen Keskusta,Keskustan Etelä-Hämeen piiri,577,5,Kesk
116843748342723,Uusimaa,Uusimaa,576,22,Maakunta
252329362124381,KD Pohjois-Karjala,KD Pohjois-Karjala,575,13,KD
187124801619019,Osuuskunta Tradeka,Osuuskunta Tradeka,569,2,Oy
146532142114269,Hämeenlinnan Kokoomus,Hämeenlinnan Kokoomus,566,28,Kok
397077980358580,Kauniaisten Vihreät,Kauniaisten Vihreät,561,22,Vihr
192210228734,Kouvolan Sanomat,Kouvolan Sanomat,554,26,Oy
153374888023578,Fingo - Suomalaiset kehitysjärjestöt,Fingo - Suomalaiset kehitysjärjestöt,554,24,Ry
941750445962348,Keskusta Kotka,Keskusta Kotka,552,4,Kesk
317522295777565,Lohjan Kristillisdemokraatit,Suomen Kristillisdemokraattien (KD) Lohjan seudun paikallisosasto ry,549,17,KD
266885463387921,Koillismaan Vihreät ry,Koillismaan Vihreät ry,549,28,Vihr
431677586881425,Kansalaisopistojen liitto KoL,Kansalaisopistojen liitto KoL – Medborgarinstitutens förbund MiF ry,545,7,Ry
1593535264249629,Suomen Kustannusyhdistys,Suomen Kustannusyhdistys,540,1,Ry
159139167468501,Hämeenlinnan Vihreät,Hämeenlinnan Vihreät,536,20,Vihr
206942796092197,Kokoomus Nurmijärvi ry,Kokoomus Nurmijärvi ry,516,8,Kok
269143493659,Satakunnan Kokoomus,Satakunnan Kokoomus,509,13,Kok
283511781767023,Limingan Kokoomus,Limingan Kokoomus r. y,505,7,Kok
210173727081,Pohjoismainen ympäristömerkki - Joutsenmerkki,Pohjoismainen ympäristömerkki - Joutsenmerkki,503,16,Ry
302691479858096,Järvenpään Perussuomalaiset,Järvenpään Perussuomalaiset,500,1,PS
149500255075681,Oulun vaalipiirin Vihreät,Oulun vaalipiirin Vihreät,500,19,Vihr
193541797669081,Sotkamon Kokoomus Ry,Sotkamon Kokoomus Ry,500,9,Ry
102490464926611,Kempeleen Demarit,Kempeleen Demarit,500,19,SDP
370901253347,SOS-Lapsikylä,SOS-Lapsikylä,499,1,Ry
387112538752894,Green Sisu,Green Sisu,499,33,Vihr
317818901649237,Hausjärven Kokoomus,Hausjärven Kokoomus ry,486,27,Kok
279407225425058,Forssan Lehti,Hämeen Media,485,16,Oy
220884089007,Suomen luonnonsuojeluliitto,Suomen luonnonsuojeluliitto,481,11,Ry
1820887671511010,Sauvon Kokoomus ry,Sauvon Kokoomus ry,475,15,Kok
223932421069563,Kirkkonummen Kokoomus,Kirkkonummen kokoomus,471,25,Kok
161632602242,Demarinaiset,Demarinaiset,470,15,SDP
1858286061114801,Pohjois-Karjalan Keskusta,Keskustan Pohjois-Karjalan piiri,469,7,Kesk
337099423015742,Keravan Vihreät,Keravan Vihreät,468,28,Vihr
296537217395203,Ranuan Kokoomus,Ranuan Kokoomus ry,466,5,Kok
157359987610086,Sipoon Sanomat,Sipoon Sanomat,461,36,Oy
138387419654922,Imatran Kokoomus,Imatran Kokoomus ry,460,1,Kok
414338075247229,Järvenpään Keskusta,Järvenpään Keskusta,460,23,Kesk
197425096997612,Tuusulan Vihreät,Tuusulan Vihreät,450,28,Kesk
1493028787579360,Liedon Keskusta,Liedon Keskusta,450,3,Vihr
233357380045625,Suomen Kennelliitto,Suomen Kennelliitto,448,3,Ry
101942117988638,Rovaniemen Keskusta,Rovaniemen Keskusta,447,2,Kesk
176840835666465,Rantalakeus,Kaleva365 Oy,442,5,Oy
110530301656011,Suomi 125,Take Action Studios Oy,437,3,Oy
1403842966317196,Kokoomus Ulvilassa,Kokoomus Ulvilassa,435,14,Kok
1584858055068239,Liedon vihreät,Liedon vihreät,428,3,Vihr
470616132956888,Kouvolan Vasemmistoliitto,Kouvolan Vasemmistoliitto,423,11,Vas
115073553567731,Jyvässeudun palkansaajademarit ry,Jyvässeudun palkansaajademarit ry,419,13,Ry
283762588316103,Pohjois-Karjalan Osuuskauppa,Pohjois-Karjalan Osuuskauppa,412,5,Oy
1687374578160220,Mäntsälän Vasemmisto ry,Mäntsälän Vasemmisto ry,411,30,Ry
466378650096046,Kemin Vasemmistoliitto,Kemin Vasemmistoliitto,408,7,Vas
463489980348395,Porvoon Keskusta,Porvoon Keskusta,405,11,Kesk
1784710361791944,MSK ry - Mustasaaren suomenkielisten kunnallisjärjestö ry.,MSK ry - Mustasaaren suomenkielisten kunnallisjärjestö ry.,400,17,Ry
104418794504506,LähiTapiola Kiinteistövarainhoito,LähiTapiola Kiinteistövarainhoito,400,2,Oy
131377747002575,Keravan kaupunki,Keravan kaupunki,400,2,Kaupunki
473588885996143,Kouvolan Vihreät,Kouvolan Vihreät,395,18,Vihr
102583748540563,Raseborg SDP Raasepori,Raseborg SDP Raasepori,394,10,SDP
1779185199009669,Kangasalan Vasemmisto,Kangasalan Vasemmisto,391,19,Vas
313336298524988,Etelä-Kymenlaakson Vasemmisto ry,Etelä-Kymenlaakson Vasemmisto ry,390,7,Vas
1106285056054221,Vaasan Sähkö - Vasa Elektriska,Vaasan Sähkö - Vasa Elektriska,390,2,Oy
355695141779,Itä-Savo,Itä-Savo,388,14,Oy
327565891926509,Meidän Loimaa,Meidän Loimaa,388,24,Ry
161389310577182,Karjalan Keskusta,Karjalan Keskusta,385,27,Kesk
237584782429,Iltalehti,Alma Media Suomi Oy,379,2,Oy
1961548777206558,Perussuomalaisten Hämeen piiri ry,Perussuomalaisten Hämeen piiri ry,378,7,PS
377011865574,Väestöliitto,Väestöliitto,376,2,Ry
13204463437,"UNHCR, the UN Refugee Agency","UNHCR, the UN Refugee Agency",375,16,Ry
150712651078,Lapin Vihreät ry - Lappi Ruonát rs,Lapin Vihreät ry - Lappi Ruonát rs,372,21,Vihr
1664366303806156,Gyproc Suomi,Gyproc Suomi,371,3,Oy
214948198521159,Satakunnan Keskusta,Satakunnan Keskusta,371,9,Kesk
232301376874442,Osuuskauppa Hämeenmaa,S-ryhmä,371,5,Oy
273478482827383,Vasemmistoliiton Lapin piiri,Vasemmistoliiton Lapin piiri,367,13,Vas
1590689387900751,Sipoon demarit - Sibbo socialdemokrater,Sipoon Demarit - Sibbo Socialdemokrater,364,7,SDP
464112580277146,Hämeenkyrön Kokoomus ry,Hämeenkyrön Kokoomus ry,363,8,Kok
175675362512760,Espoon Perussuomalaiset ry,Espoon Perussuomalaiset ry,360,78,PS
169094950261228,Siuntion Vihreät - De Gröna i Sjundeå,Siuntion Vihreät - De Gröna i Sjundeå,357,15,Vihr
1529007540681072,Espoon Keskusta,Keskustan Espoon kuntayhdistys ry,352,12,Ry
447944908640328,Leppävirran Perussuomalaiset Ry,Leppävirran Perussuomalaiset Ry,351,13,PS
161729817199907,Kirkkonummen SDP,Kirkkonummen demarit,351,17,SDP
152746548193491,Nurmijärven Demarit,Nurmijärven Demarit,350,70,SDP
138834982821944,Kauppalehti,Kauppalehti,349,2,Oy
188627167849573,Kymen Sanomat,Kymen Sanomat,341,18,Oy
343678549705265,Ylä-Karjalan Vasemmisto,Ylä-Karjalan Vasemmisto,340,12,Vas
522420727632351,Lopen PS ry,Lopen Perussuomalaiset ry,340,4,PS
128645837155860,Haminan seudun Vihreät ry.,Haminan seudun Vihreät ry,338,79,Vihr
112787490898330,Ulvilan Keskusta,Keskustan Ulvilan Kunnallisjärjestö ry,336,23,Kesk
720258011324226,Kuopion Liikekirjapaino Oy,Kuopion Liikekirjapaino Oy,334,2,Oy
152504891489381,Jakobstads Svenska Socialdemokrater,Jakobstads Svenska Socialdemokrater,334,8,SDP
160840797298202,Sydänliitto,Sydänliitto,332,3,Oy
334803706375402,SDP Rautjärvi,SDP Rautjärvi,332,3,SDP
182027811910188,Hyvinkään Vihreät ry,Hyvinkään vihreät ry,324,7,Ry
160212313999341,Turun seudun Vihreät Naiset,Turun Seudun Vihreät Naiset,322,12,Vihr
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,319,2,Ry
159386057509340,Konneveden Keskusta,Konneveden Keskusta,317,21,Kesk
218212491597543,SFP i Lovisa,SFP i Lovisa,317,27,RKP
1633139080270973,Kuopion Vasemmisto,Kuopion Vasemmisto,314,5,Vas
140941735780169,Tuulivoima- ja aurinkoenergiaosaamista Kainuuseen,Tuulivoima- ja aurinkoenergiaosaamista Kainuuseen,314,8,Ry
108645532511991,Tamperelainen,Tamperelainen,313,27,Oy
101399417900287,Pro Kirkkonummi ry. / Pro Kyrkslätt rf.,Pro Kirkkonummi ry. / Pro Kyrkslätt rf.,312,6,Ry
134073866647344,Keravan Vasemmisto,Keravan Vasemmisto,308,10,Vas
291374520900272,Hyvinkään Vasemmisto,Hyvinkään Vasemmisto,305,21,Vas
522514861169312,Kallion Vasemmisto,Kallion Vasemmistoliitto ry,304,6,Vas
245967315440131,Maailman Kuvalehti,Fingo ry - Suomalaiset kehitysjärjestöt,301,34,Ry
152765428115857,Keski-Suomen Vihreät Naiset ry,Keski-Suomen Vihreät Naiset ry,300,1,Vihr
1785428028345564,Vasa svenska socialdemokrater r.f.,Vasa svenska socialdemokrater r.f.,300,1,SDP
135496579694,Syöpäjärjestöt,Syöpäjärjestöt,300,4,Ry
101458305326297,Sysmän Kokoomus,Sysmän Kokoomus,298,4,Kok
622731994432755,Wellamon Kokoomusnaiset ry,Wellamon Kokoomusnaiset ry,294,8,Kok
1100097856728021,KD Rauma,KD Rauma,292,4,KD
650574484996753,SFP i Sjundeå - Siuntion RKP,SFP i Sjundeå,292,9,RKP
617033254817917,ARChie Productions Finland tv,ARChie Productions Finland TV,292,13,Oy
305298133430,Kokoomus Kaarina,Kokoomuksen Kaarinan Kunnallisjärjestö ry,285,25,Kok
275168389198010,Ehkäisevä päihdetyö EHYT ry,Ehkäisevä päihdetyö EHYT ry,283,15,Ry
117026961482850,Lapinlahden Sosialidemokraatit,Lapinlahden Sosialidemokraatit,281,10,SDP
1764140410506268,Kansallinen senioriliitto ry,Kansallinen senioriliitto ry,281,3,Ry
304084226119264,Nopeet.fi,Nopeet.fi,279,2,Oy
312370502489979,Loviisan Sanomat,Loviisan Sanomat,279,34,Oy
164581160081733,Eläinoikeusakatemia,Eläinoikeusakatemia ry,277,4,Ry
1425040501085997,Pyhäjokiseutu-lehti,Kaleva365 Oy,273,2,Oy
267157434495,Vihdin Vihreät,Vihdin Vihreät,273,2,Vihr
101726512350597,Keskusta Hyrynsalmi,Keskusta Hyrynsalmi,271,5,Kesk
207304672749999,KD Savo-Karjala,KD Savo-Karjala,269,8,KD
229780797136945,Raaseporin Vasemmisto ry,Raaseporin Vasemmisto ry,265,6,Vas
1550711321832036,Kurikan Kokoomus,Kurikan Kokoomus,262,17,Kok
228518493825825,Länsi-Vantaan Vihreät,Länsi-Vantaan Vihreät r.y.,262,3,Vihr
102072273177850,Uutisvuoksi,Uutisvuoksi,261,11,Oy
503310109682643,Järvenpään Kokoomus,Järvenpään Kokoomus,259,28,Kok
102111365996744,LemPi-metsän puolesta,LemPi-metsän puolesta,258,1,Ry
1222500277827380,Viitasaaren Keskusta,Viitasaaren Keskusta,257,15,Kesk
156056361201876,Paimion Kokoomus,Paimion kokoomus,256,10,Kok
135677053152495,Akava,Akava,255,1,Kok
